nome,endereco,estado,cpf,data,idade
Augusto Teixeira,"favela maria novaes
savassi
60241424 da costa das flores / rr",RIO GRANDE DO SUL,412.563.970-16,1954-11-15,69
Ana Julia Da Rosa,"trevo moraes, 5
cônego pinheiro 1ª seção
38769-503 ramos de rocha / sp",RIO GRANDE DO SUL,630.549.782-65,1981-10-10,42
Lucca Barbosa,"rua mendes, 337
penha
06179-472 sales do sul / sp",MINAS GERAIS,836.109.275-77,1926-06-12,97
Amanda Da Costa,"lagoa cardoso, 1
ambrosina
61793-758 da rocha / sp",MATO GROSSO,268.935.074-29,2000-11-20,23
Dr. Francisco Cardoso,"lago maitê campos, 31
braúnas
72279-259 costa do sul / to",PARANÁ,430.297.815-50,1927-10-30,96
Lorena Farias,"residencial barbosa, 44
zilah sposito
26601655 aragão de goiás / ap",RIO GRANDE DO SUL,268.517.934-82,1931-04-17,92
Anthony Da Costa,"recanto de rocha, 68
conjunto califórnia i
12467-132 jesus do norte / se",SANTA CATARINA,935.287.104-97,1988-02-13,36
Cauã Rodrigues,"vale gustavo henrique alves, 50
vila madre gertrudes 4ª seção
75200-837 correia grande / al",MATO GROSSO DO SUL,107.286.439-87,1926-02-11,98
Anthony Barbosa,"vila farias
vila satélite
80983484 gonçalves de fogaça / rn",ALAGOAS,631.750.489-00,1937-08-19,86
Ana Julia Almeida,"fazenda de porto, 3
senhor dos passos
60244655 mendes / ma",MATO GROSSO,179.386.425-09,2001-07-20,22
Milena Barros,"setor miguel pires, 3
ermelinda
63141374 pires / pa",RIO GRANDE DO NORTE,314.602.985-51,1950-08-04,73
Murilo Gomes,"morro de castro
vila pilar
68132710 vieira do sul / sp",CEARÁ,759.083.641-93,1924-05-22,99
Daniel Barbosa,"praça ferreira, 764
vila sumaré
04459429 teixeira da serra / ce",DISTRITO FEDERAL,812.035.469-98,1995-10-05,28
Dr. Samuel Cardoso,"vereda cauê novaes, 14
conjunto califórnia ii
17511624 caldeira / ba",DISTRITO FEDERAL,039.124.687-96,1977-03-20,47
Ana Laura Sales,"fazenda de pinto, 42
são jorge 1ª seção
94419954 correia de mendes / pr",RONDÔNIA,863.247.190-22,1945-11-24,78
Mariana Cunha,"loteamento luiz felipe teixeira, 87
novo ouro preto
09824175 araújo / am",RORAIMA,492.537.016-25,1942-07-24,81
Sr. João Guilherme Cavalcanti,"quadra emanuella da conceição, 29
cruzeiro
48756-294 fogaça de correia / ms",RIO GRANDE DO NORTE,347.156.029-70,1985-09-30,38
Kamilly Rocha,"rodovia danilo costa, 17
alta tensão 2ª seção
93173-991 almeida do oeste / ms",PIAUÍ,365.248.907-10,1960-10-29,63
Gabriel Nunes,"vila stephany lima
vista do sol
43271006 costa / pa",AMAZONAS,940.813.762-04,1968-11-21,55
Rafael Correia,"morro de cardoso, 47
marçola
82157940 melo / se",PIAUÍ,579.042.183-05,1952-01-03,72
Ana Lívia Barbosa,"lagoa sarah azevedo
monsenhor messias
68691-716 nunes / ce",PARÁ,925.164.380-60,1961-05-30,62
Maitê Teixeira,"loteamento oliveira, 29
camponesa 1ª seção
35499227 da rosa do oeste / pe",RIO GRANDE DO SUL,694.815.037-39,1933-05-11,90
Carlos Eduardo Santos,"largo nascimento, 97
delta
00090-218 barbosa / pr",RONDÔNIA,937.815.426-37,1955-03-29,69
Enzo Gabriel Araújo,Endereço não informado!!,RIO GRANDE DO SUL,349.682.017-96,1953-09-15,70
Breno Moreira,"aeroporto de das neves, 7
vila sumaré
05152-623 correia das flores / al",PARANÁ,184.762.950-49,1984-03-23,40
Julia Lopes,"conjunto de cardoso, 5
vila minaslandia
42663-889 castro / pr",RORAIMA,106.893.247-31,1977-02-13,47
André Lima,"viaduto cardoso
belmonte
18780-365 monteiro do campo / ro",ALAGOAS,645.098.123-70,1944-11-06,79
João Gabriel Barbosa,"fazenda de barros
boa esperança
74227859 da costa / df",AMAPÁ,190.657.428-67,1969-02-23,55
,"colônia maria vitória moura
aarão reis
87984-967 rocha de minas / go",CEARÁ,438.765.902-56,2002-04-13,21
João Felipe Oliveira,"avenida de cardoso
madre gertrudes
39614351 porto do amparo / rn",DISTRITO FEDERAL,830.679.415-00,1981-10-18,42
Samuel Vieira,"lagoa leandro caldeira, 1
chácara leonina
51972-241 mendes / mt",RORAIMA,218.305.764-53,1984-07-02,39
Lucca Ferreira,"esplanada de das neves, 5
andiroba
55857-900 moraes do amparo / mg",PERNAMBUCO,237.984.561-19,1938-03-30,86
Samuel Castro,"praia eloah da mata, 95
cachoeirinha
76620-467 melo / al",AMAZONAS,582.630.419-70,1954-02-04,70
Maria Vitória Teixeira,"praia carvalho, 7
vila nova
08272068 costela / pa",MATO GROSSO DO SUL,426.753.091-25,1962-12-16,61
Maria Fernanda Farias,"área de correia, 44
chácara leonina
16210070 nunes do sul / am",RIO GRANDE DO NORTE,907.143.856-20,2001-07-18,22
Fernanda Sales,"vale lorenzo almeida, 80
vila mantiqueira
39381-620 alves grande / pe",RIO GRANDE DO SUL,879.354.102-32,1953-02-05,71
Srta. Eduarda Nogueira,"chácara isadora das neves
vila da amizade
25121623 ribeiro / pb",RONDÔNIA,602.751.493-07,1958-01-13,66
Maitê Ferreira,"estação cunha
calafate
29389355 rocha de gonçalves / pr",SANTA CATARINA,016.542.973-99,1958-04-24,65
Catarina Pires,"loteamento de lima, 1
vila primeiro de maio
16602-243 vieira da mata / mt",MATO GROSSO DO SUL,079.186.425-11,1977-01-28,47
Manuela Da Rocha,"alameda de gonçalves, 79
saudade
47129-674 dias / sp",PARAÍBA,839.561.470-57,1949-05-21,74
Nina Moura,"quadra bernardo ferreira, 85
marieta 1ª seção
48882-146 lima de barbosa / pa",ACRE,604.173.592-25,1977-07-23,46
Pedro Henrique Vieira,"rodovia alícia dias, 58
vila boa vista
14088-768 campos de porto / rr",PARANÁ,526.839.107-03,1981-08-14,42
Ana Clara Cunha,"rua de cavalcanti, 8
vila da paz
01240048 souza da serra / ac",ESPÍRITO SANTO,862.953.107-02,1987-04-09,36
Pietra Santos,"esplanada de silva, 1
vila puc
06033-930 alves de lopes / go",SANTA CATARINA,508.672.194-67,1929-06-14,94
Sr. Theo Da Conceição,"viaduto de freitas, 12
centro
41526-260 da cruz dos dourados / rr",SÃO PAULO,284.517.309-14,1998-10-04,25
Vinicius Da Costa,"recanto valentina pinto, 52
satelite
97787-119 mendes de barbosa / pa",SÃO PAULO,023.916.457-16,1958-06-03,65
Pedro Henrique Cunha,"passarela de santos, 501
vila atila de paiva
81047029 oliveira / es",PARÁ,519.304.678-93,1965-06-03,58
Davi Nogueira,"morro lucca da rocha, 40
bandeirantes
05301527 nascimento / ce",TOCANTINS,564.829.170-11,1949-12-14,74
Luiz Fernando Da Paz,"praça de da paz, 5
conjunto jardim filadélfia
17691-504 cavalcanti / to",MATO GROSSO,409.816.257-11,1943-04-30,80
Srta. Letícia Rocha,"fazenda joão felipe souza, 78
nova pampulha
08184872 cunha / sc",SERGIPE,137.580.942-32,1947-12-01,76
João Nogueira,"rodovia cauê monteiro, 50
heliopolis
61521177 martins paulista / ce",RIO GRANDE DO NORTE,367.189.054-10,1933-02-22,91
João Gabriel Cardoso,"área de ferreira, 20
vila independencia 2ª seção
75695006 melo / ac",MINAS GERAIS,962.405.713-34,1970-07-13,53
Ryan Ribeiro,"núcleo almeida, 41
vila são paulo
63386-457 novaes / pb",ALAGOAS,409.157.683-48,1928-12-18,95
Olivia Das Neves,"lagoa de vieira, 25
paquetá
66090560 pereira do campo / al",RORAIMA,314.927.586-55,2001-01-27,23
Sr. Luiz Miguel Pinto,"conjunto da luz, 6
chácara leonina
95186702 silva / sc",SÃO PAULO,942.816.507-76,1968-04-17,55
Elisa Teixeira,"ladeira de rodrigues, 58
vila são francisco
18153-240 da mata / es",RONDÔNIA,217.439.856-73,1944-05-07,79
Pedro Miguel Das Neves,"jardim de nascimento, 7
engenho nogueira
72911-524 moreira do galho / rs",RIO DE JANEIRO,523.976.081-03,1964-12-15,59
Maria Luiza Azevedo,"quadra de da cruz, 42
vila jardim montanhes
11782275 mendes / pe",SERGIPE,064.253.879-47,1947-04-29,76
Lorenzo Silva,"conjunto de da cruz, 1
mariano de abreu
82687-160 azevedo de silva / rj",AMAZONAS,642.397.018-13,1976-05-09,47
Bianca Souza,"colônia francisco campos, 7
vila betânia
47223-561 da costa do galho / sc",BAHIA,673.295.108-40,1926-05-25,97
Vitor Azevedo,"largo de barbosa
vila nova gameleira 1ª seção
37778-485 lima / al",RORAIMA,643.978.150-20,1953-11-01,70
Enzo Gabriel Lima,"aeroporto rezende
santo antônio
22751419 melo de porto / sp",SANTA CATARINA,187.604.952-94,1967-01-28,57
Eduarda Cunha,"campo de pinto, 72
santana do cafezal
22684962 porto / pi",SÃO PAULO,093.821.745-32,1964-09-17,59
Sra. Nicole Da Rocha,"setor de ferreira, 742
vila antena
59176-949 santos / rr",AMAZONAS,367.082.149-03,1944-10-10,79
Ana Clara Santos,"ladeira de sales, 15
vila são francisco
18447153 das neves / df",PARAÍBA,430.629.781-04,1988-04-15,35
Enzo Gabriel Castro,"ladeira de teixeira
são geraldo
49881-890 rodrigues / pb",PIAUÍ,694.253.078-65,1927-07-11,96
Nicole Ferreira,"aeroporto duarte, 9
funcionários
49849669 silva do sul / es",AMAZONAS,701.839.246-22,1996-02-11,28
Erick Sales,"trecho de martins, 51
vila santa monica 1ª seção
87398-775 nogueira alegre / pr",CEARÁ,498.357.160-48,1986-09-13,37
Anthony Barros,"vila alexia viana, 87
jardim alvorada
22732-445 moreira / pa",RORAIMA,742.053.618-07,1981-10-24,42
Renan Da Rocha,"morro melo, 463
grajaú
18981-145 da conceição / ro",TOCANTINS,986.204.357-10,1971-03-08,53
Marcela Santos,"residencial de aragão, 65
planalto
81955-681 barbosa do sul / rn",GOIÁS,843.196.205-42,1999-12-23,24
Carolina Melo,"vereda kamilly da rosa, 80
são geraldo
58360617 castro / sc",AMAPÁ,970.358.142-05,1984-06-06,39
Lavínia Rezende,"morro davi luiz correia, 38
vila são paulo
55361364 ferreira do galho / ce",RONDÔNIA,946.321.085-70,1979-08-19,44
Srta. Julia Porto,"distrito ana laura aragão, 90
jardim do vale
37050371 barbosa / ma",AMAZONAS,502.731.649-61,1948-07-21,75
Alana Cardoso,"favela gonçalves, 32
cônego pinheiro 1ª seção
62579-612 da costa alegre / pr",RIO GRANDE DO NORTE,572.934.018-41,1991-04-14,32
Davi Lucas Cardoso,"viela da paz, 92
serra
95443238 correia / mt",SÃO PAULO,805.769.423-83,1995-11-15,28
Raul Santos,"loteamento emanuelly sales, 135
leticia
56249-362 fernandes de peixoto / sp",ALAGOAS,315.809.267-03,2004-09-11,19
Igor Melo,"favela oliveira, 67
vila copacabana
91636157 rezende / pr",TOCANTINS,261.730.548-17,1978-02-03,46
Joaquim Da Costa,"condomínio campos, 38
dom bosco
49718775 melo de minas / sp",AMAPÁ,274.039.856-56,1947-08-10,76
João Felipe Farias,"estação milena silva, 549
bairro das indústrias ii
77860945 silva / pe",MATO GROSSO,936.457.180-01,1996-01-11,28
Manuela Almeida,"feira alice ramos, 3
são joão batista
84904729 campos paulista / pe",ACRE,647.251.980-30,1949-01-27,75
Ryan Rocha,"passarela nogueira, 8
castelo
08422194 pires de barros / pi",Desconhecido,248.513.096-51,1959-10-25,64
Luna Da Conceição,"campo campos, 82
são pedro
10003961 da mata / ma",MATO GROSSO DO SUL,935.416.278-91,1928-02-19,96
Manuela Silva,"jardim beatriz farias, 11
acaba mundo
79947-311 farias / al",BAHIA,591.372.846-73,2005-09-01,18
Maria Vitória Das Neves,"lagoa cavalcanti
savassi
46594-913 ribeiro do norte / pe",MINAS GERAIS,761.450.932-34,1928-01-05,96
Marcela Cunha,"rua sales, 4
universo
73420661 rodrigues das pedras / se",PERNAMBUCO,904.312.587-32,1978-06-17,45
Bryan Souza,"viaduto thales costela, 23
mala e cuia
14364-941 farias / ba",MARANHÃO,593.410.876-00,1958-03-05,66
Kevin Cavalcanti,"distrito maria moraes, 9
vila paris
34507-199 cardoso / pr",SERGIPE,658.107.349-01,1976-01-29,48
Sr. João Gabriel Martins,"esplanada de moura, 95
boa viagem
73036474 pereira do oeste / ma",MATO GROSSO,794.682.051-85,1949-06-14,74
Gabriela Da Mata,"viaduto de peixoto, 16
inconfidência
10719-934 da cruz / ce",RORAIMA,746.021.835-90,1956-06-16,67
Srta. Júlia Fernandes,"condomínio leandro da mota, 20
jatobá
87409412 cavalcanti da mata / to",DISTRITO FEDERAL,650.429.831-98,1975-11-19,48
Bárbara Silveira,"trevo carvalho
vila paraíso
27781889 vieira de castro / rn",RIO DE JANEIRO,386.019.472-04,1983-12-25,40
Vinicius Jesus,"morro de duarte
pindorama
91232749 cunha / rs",MINAS GERAIS,549.723.618-91,1934-12-08,89
Srta. Alice Pires,"praia ana carolina correia, 11
santa sofia
12204735 rocha alegre / ro",CEARÁ,536.287.940-56,1982-07-08,41
Lara Ferreira,"rodovia de fogaça, 96
lajedo
51730-878 cardoso do galho / rs",DISTRITO FEDERAL,698.517.304-75,1951-10-23,72
Felipe Freitas,"rua duarte, 85
vila real 1ª seção
03399083 costa do sul / ac",DISTRITO FEDERAL,863.410.759-01,1925-04-27,98
Maysa Pires,"sítio mariana almeida, 86
carlos prates
09579-357 cavalcanti / pr",BAHIA,852.607.149-11,1955-10-08,68
Letícia Da Mata,"aeroporto da paz, 54
vila são dimas
26750-505 costa / pr",RIO DE JANEIRO,308.742.169-31,1976-08-04,47
Luigi Cunha,"praia nascimento, 541
senhor dos passos
52251-024 cavalcanti do campo / pa",Desconhecido,623.457.109-34,1932-01-24,92
Lucas Gabriel Gomes,"distrito de cardoso, 24
flamengo
42222117 jesus da prata / pi",PERNAMBUCO,120.476.398-40,2004-02-23,20
Emanuelly Costela,"vale de vieira, 67
suzana
02233962 alves / pa",RORAIMA,152.490.783-97,1977-10-21,46
Calebe Nascimento,"trecho brenda ferreira, 25
lagoinha
22650-581 da luz / rj",BAHIA,631.974.802-87,1939-02-25,85
Juan Pires,"avenida de santos, 89
são pedro
54483394 moraes da mata / ms",GOIÁS,139.648.572-46,1948-03-12,76
Lívia Costa,"loteamento oliveira, 12
vila da ária
56184582 pires / am",RIO GRANDE DO NORTE,582.793.041-50,1942-10-18,81
Davi Lucas Nunes,"vila viana, 68
nova cintra
01930898 porto / am",PIAUÍ,679.802.341-03,2003-01-07,21
Dr. Lucca Oliveira,"passarela jesus, 34
vila jardim montanhes
90668-539 azevedo / pb",RIO DE JANEIRO,806.759.431-75,1934-06-24,89
Eduardo Monteiro,"viaduto caldeira
vila nova paraíso
26625-312 oliveira do galho / pe",CEARÁ,037.529.468-65,1962-11-09,61
Diogo Moraes,"sítio aragão, 73
aguas claras
39221-650 barros / rj",MARANHÃO,571.463.209-52,1977-01-12,47
Felipe Freitas,"área gabriela nascimento
ermelinda
91481282 silveira / rr",GOIÁS,657.014.938-57,2005-12-08,18
Ryan Peixoto,"estrada agatha correia, 79
xodo-marize
53021-431 azevedo alegre / to",PARÁ,830.126.594-98,1996-08-25,27
Otávio Pires,"pátio ribeiro, 33
vila oeste
74852-896 barros da mata / ms",RONDÔNIA,526.170.894-01,1998-07-16,25
Thiago Moreira,"residencial rebeca da paz, 43
santa inês
11614338 lima do sul / sc",RIO GRANDE DO SUL,023.671.984-03,1963-01-11,61
Pietro Lopes,"aeroporto moura, 81
salgado filho
80405-323 moura do galho / sp",PARAÍBA,428.657.913-19,1962-04-24,61
Gabriela Gomes,"parque mariane araújo, 1
flamengo
01839098 aragão / ro",PIAUÍ,317.820.469-50,1981-04-13,42
João Miguel Viana,"estrada de carvalho, 309
funcionários
12346-410 da luz / df",Desconhecido,183.527.069-77,2000-05-27,23
Sr. Luiz Henrique Nunes,"via da cunha, 11
sport club
89823119 costela da mata / to",TOCANTINS,031.879.256-77,1948-03-17,76
Srta. Ana Sophia Viana,"rodovia agatha cavalcanti, 27
santo antônio
57644125 ribeiro / ap",PARÁ,937.802.651-68,1995-02-18,29
Sr. Marcelo Aragão,"praça raul pires
maria virgínia
04343-264 cunha / to",PIAUÍ,418.379.602-40,1938-04-06,85
Enzo Gabriel Da Mota,"vila farias
braúnas
89867214 nogueira do sul / se",MINAS GERAIS,018.326.459-24,1993-09-22,30
Benjamin Da Rosa,"núcleo maria luiza novaes, 100
xangri-lá
43844226 moura da prata / rj",PARANÁ,195.728.306-86,1924-07-29,99
Ana Rezende,"esplanada de da cruz, 73
eymard
71825-419 nascimento / pe",RIO GRANDE DO NORTE,316.749.285-64,1955-10-15,68
Dr. Thomas Dias,"jardim ana carolina da mota, 6
vila petropolis
53256-274 moura / ap",PARAÍBA,267.984.310-03,1979-01-13,45
Breno Ribeiro,"vereda de costela, 27
vila de sá
07317531 freitas / mg",MATO GROSSO,803.946.721-78,1985-10-05,38
Lucas Gabriel Novaes,"trevo manuela jesus, 927
ipe
96781793 carvalho / sc",CEARÁ,856.074.129-11,1982-09-04,41
Vicente Rodrigues,"chácara cardoso, 14
vila aeroporto
82122066 fogaça / rn",RONDÔNIA,328.147.905-79,1938-12-18,85
João Lucas Vieira,"praça de oliveira, 35
conjunto santa maria
00397-858 barros dos dourados / rn",MARANHÃO,985.724.301-05,1985-10-18,38
Dr. Luiz Henrique Freitas,"residencial luigi duarte, 6
manacas
80721305 aragão / sc",PARÁ,951.720.438-88,1976-11-07,47
Dra. Luiza Da Conceição,"núcleo de ferreira, 77
lagoa
66120668 freitas do norte / pr",CEARÁ,189.032.564-33,1927-04-29,96
Benjamin Cavalcanti,"área de fernandes, 37
vila são dimas
93804-699 pereira / mt",CEARÁ,317.024.958-41,1997-11-30,26
Murilo Mendes,"loteamento porto, 4
vila santo antônio
40994-158 jesus / se",SERGIPE,653.748.201-17,1946-04-20,77
Dr. Renan Rezende,"área de ribeiro, 688
vila vista alegre
53424631 viana / pr",SANTA CATARINA,609.342.875-38,1958-12-16,65
Maysa Porto,"pátio carlos eduardo azevedo, 76
havaí
05920919 cardoso do norte / ro",BAHIA,081.395.764-84,1955-09-11,68
Pedro Lucas Pereira,"quadra almeida, 83
paquetá
47111-767 ferreira / ce",SANTA CATARINA,873.421.560-35,1940-01-09,84
Isadora Nogueira,"feira almeida, 72
vila são dimas
54779-178 nogueira da mata / rj",RIO DE JANEIRO,480.321.579-05,1974-01-09,50
Gabriel Ramos,"viaduto de freitas, 46
novo glória
68461-422 da mata do campo / to",MATO GROSSO,591.874.320-05,1947-08-23,76
Yago Ferreira,"ladeira agatha almeida, 27
vila copacabana
72789380 santos de cardoso / rs",ACRE,531.842.796-00,1936-05-30,87
Samuel Da Mata,"residencial cavalcanti, 50
grota
42720-953 costela / mg",PARANÁ,521.740.968-11,2002-11-30,21
Sophie Pinto,"colônia bryan costela, 404
suzana
19834-441 rocha / se",SANTA CATARINA,317.480.529-50,1929-07-19,94
Dr. Rafael Souza,"rodovia de moreira, 6
santo agostinho
88797976 melo de rodrigues / am",AMAZONAS,436.750.218-07,1979-02-03,45
Vitor Hugo Lima,"esplanada oliveira, 654
serra
05893442 barros grande / pr",RORAIMA,450.326.187-80,1938-07-30,85
Dr. Bernardo Da Cruz,"rodovia thomas santos, 48
vila suzana segunda seção
76192-382 da cruz / am",BAHIA,230.847.951-50,2003-03-03,21
